# File Name: D:\qPCR\Mono vs Coculture Trial 2 072825.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272531727
# Instrument Serial Number: 272531727
# Heated Cover Serial Number:
# Block serial number: 20280764
# Run Start Date/Time: 2025-07-28 11:06:12 AM EDT
# Run End Data/Time: 2025-07-28 12:58:06 PM EDT
# Run Duration: 111 minutes 54 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-07-28 04:24:07 PM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-07-28 04:27:48 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"152","Bactin","4","-","0","21.542200836654303","0.45455254493638814","0.22727627246819407",
"152","ESR1","4","-","0","","","",
"152","ESR2","4","-","0","32.906605382473714","0.4829411348677921","0.24147056743389606",
"152","GREB1","4","-","0","35.38128513106254","","",
"152","Luc2","4","-","0","30.535898436599027","0.17612681568164307","0.08806340784082153",
"152","PGR","4","-","0","34.93969379111263","","",
"152","TAT","4","-","0","27.050321417547803","0.12704634611476992","0.06352317305738496",
"152","TFF","4","-","0","32.24399876264438","0.3632748062613226","0.1816374031306613",
"153","Bactin","4","-","0","18.91340084950113","0.5840349755857738","0.2920174877928869",
"153","ESR1","4","-","0","","","",
"153","ESR2","4","-","0","30.146184413589044","0.5846143075972116","0.2923071537986058",
"153","GREB1","4","-","0","33.30400399641802","0.9037036633617866","0.4518518316808933",
"153","Luc2","4","-","0","28.365270823411734","0.33358244727635716","0.16679122363817858",
"153","PGR","4","-","0","35.09033874802423","0.879162752399145","0.5075848517591387",
"153","TAT","4","-","0","24.969422251139605","0.11647671002796516","0.05823835501398258",
"153","TFF","4","-","0","29.6453588760574","0.24397014677540568","0.12198507338770284",
"154","Bactin","4","-","0","20.339269627413366","0.7671855268995564","0.3835927634497782",
"154","ESR1","4","-","0","","","",
"154","ESR2","4","-","0","29.667842656971636","0.5155862311141214","0.2577931155570607",
"154","GREB1","4","-","0","33.026174354649285","0.9769074593511404","0.4884537296755702",
"154","Luc2","4","-","0","27.973124805204435","0.21312777843478728","0.10656388921739364",
"154","PGR","4","-","0","35.38463235560136","1.3254549533404705","0.9372381856643456",
"154","TAT","4","-","0","24.52121272660898","0.15940576161645606","0.07970288080822803",
"154","TFF","4","-","0","29.248619682231663","0.3555440994377192","0.1777720497188596",
"158","Bactin","4","-","0","15.791284145908612","0.050474962847762525","0.025237481423881263",
"158","ESR1","4","-","0","22.159546893751262","0.28203460796595575","0.14101730398297788",
"158","ESR2","4","-","0","29.140280072693933","0.32889531591277144","0.16444765795638572",
"158","GREB1","4","-","0","22.90060796376528","0.12923777944634138","0.06461888972317069",
"158","Luc2","4","-","0","22.74756323608401","0.1539331563964427","0.07696657819822135",
"158","PGR","4","-","0","21.646339268021954","0.1957584165774486","0.0978792082887243",
"158","TAT","4","-","0","24.386934723802952","0.12073630593114579","0.060368152965572894",
"158","TFF","4","-","0","22.88971825439814","0.26579400407482634","0.13289700203741317",
"Blank","Bactin","4","-","0","","","",
"Blank","ESR1","4","-","0","34.31906378192059","","",
"Blank","ESR2","4","-","0","","","",
"Blank","GREB1","4","-","0","","","",
"Blank","Luc2","4","-","0","","","",
"Blank","PGR","4","-","0","","","",
"Blank","TAT","4","-","0","","","",
"Blank","TFF","4","-","0","","","",
"Co - b","Bactin","4","-","0","18.930162420946097","0.5060198853220698","0.2530099426610349",
"Co - b","ESR1","4","-","0","26.073422424081095","0.6212448109761232","0.3106224054880616",
"Co - b","ESR2","4","-","0","31.848280735589054","0.283508573547222","0.141754286773611",
"Co - b","GREB1","4","-","0","24.879092957682865","0.38514318821059457","0.19257159410529728",
"Co - b","Luc2","4","-","0","26.643967438805763","0.2730635493460901","0.13653177467304506",
"Co - b","PGR","4","-","0","23.489755483832013","0.3877876670775345","0.19389383353876724",
"Co - b","TAT","4","-","0","26.17808866263058","0.07856690952963165","0.039283454764815824",
"Co - b","TFF","4","-","0","26.252926430998677","0.1545024940171782","0.0772512470085891",
"Co+ B","Bactin","4","-","0","19.12974754537725","0.2538427287507203","0.12692136437536014",
"Co+ B","ESR1","4","-","0","26.62621397235621","0.4137988929700147","0.20689944648500735",
"Co+ B","ESR2","4","-","0","32.98243055371875","1.1344461817687859","0.5672230908843929",
"Co+ B","GREB1","4","-","0","26.25552830486574","0.23944542123672688","0.11972271061836344",
"Co+ B","Luc2","4","-","0","27.70792841092337","0.25354422686821604","0.12677211343410802",
"Co+ B","PGR","4","-","0","24.679566372972914","0.3874659394692198","0.1937329697346099",
"Co+ B","TAT","4","-","0","26.71548415854417","0.17275138822454356","0.08637569411227178",
"Co+ B","TFF","4","-","0","27.173308364096847","0.3256351936525488","0.1628175968262744",
"Co+F B","Bactin","4","-","0","18.37085463532602","0.2028356960438113","0.10141784802190565",
"Co+F B","ESR1","4","-","0","26.07219131915248","0.15988092366702233","0.07994046183351117",
"Co+F B","ESR2","4","-","0","34.88317744312625","1.502762704385162","0.751381352192581",
"Co+F B","GREB1","4","-","0","26.750247581966942","0.15170710806996085","0.07585355403498042",
"Co+F B","Luc2","4","-","0","31.322568268221406","0.2697059210374079","0.13485296051870396",
